PC,Inst Name,Jump?,Jump Addr
0x10F5C,"JR NZ,$4F63  [+5]",1,0x4F63
0x10F64,"JR NZ,$4F6B  [+5]",1,0x4F6B
0x4F91,"JR NZ,$4FAE  [+27]",1,0x4FAE
0x4FB0,"JR NC,$4F7D  [-53]",1,0x4F7D
0x509F,JP (HL),0,0x0
0x50A0,RET NZ,0,0x0
0x513E,"JR NC,$510B  [-53]",1,0x510B
0x5269,JP (HL),0,0x0
0x531A,"JR NZ,$532C  [+16]",1,0x532C
0x5324,"JR NC,$52F1  [-53]",1,0x52F1
0x5346,"CALL NZ,$5374",1,0x5374
0x5381,"JR NC,$5389  [+6]",1,0x5389
0x5388,"JR NZ,$5384  [-6]",1,0x5384
0x5163,"JR NZ,$5180  [+27]",1,0x5180
0x5182,"JR NC,$514F  [-53]",1,0x514F
0x4F95,"JR NC,$4F62  [-53]",1,0x4F62
0x5167,"JR NC,$5134  [-53]",1,0x5134
0x54D4,"JR NC,$54BC  [-26]",1,0x54BC
0x1397,"JR NZ,$13A5  [+12]",1,0x13A5
0x13AD,"JR NZ,$13BA  [+11]",1,0x13BA
0x1545,"JR NZ,$154C  [+5]",1,0x154C
0x1551,"JR NZ,$155C  [+9]",1,0x155C
0x157D,"JR NZ,$1584  [+5]",1,0x1584
0x1588,"JR NZ,$158F  [+5]",1,0x158F
0x172B,"JR Z,$172D  [+0]",1,0x172D
0x1972,"JR Z,$197D  [+9]",1,0x197D
0x10AAA,"JP C,$4B1D",1,0x4B1D
0x10AB6,JP (HL),0,0x0
0x10B1F,"JR Z,$4B47  [+38]",1,0x4B47
0x12EFF,"JR Z,$6F0E  [+13]",1,0x6F0E
0x12F2A,"JP Z,$6F63",1,0x6F63
0x12F6D,"JP NZ,$6F26",1,0x6F26
0x206A,"JR Z,$2086  [+26]",1,0x2086
0x209E,"JR Z,$20C9  [+41]",1,0x20C9
0x63D8,"JR NC,$63E3  [+9]",1,0x63E3
0x267D,"JR Z,$264A  [-53]",1,0x264A
0x2681,"JR Z,$264E  [-53]",1,0x264E
0x2685,"JR Z,$2652  [-53]",1,0x2652
0x268C,"JP NZ,$26E5",1,0x26E5
